Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15314,The King of Fighters NeoWave,XB,2006,Fighting,SNK Playmore,0.02,0.0,0.0,0.0,0.02
15315,Super PickUps,PSTow,2007,Racing,XS Games,0.01,0.01,0.0,0.0,0.02
15317,Aquanauts Holiday,PS,1995,Adventure,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
15318,Negima Chou Mahora Taisen Chuu Checkiin Zenin Shuugou Yappari Onsen Kichaimashitaa,DS,2007,Adventure,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15320,Hot n Cold,DS,2009,Action,Majesco Entertainment,0.02,0.0,0.0,0.0,0.02
15321,Nisenochigiri,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15324,Kikou Heidan JPhoenix Cobalt Shoutaihen,PSTow,2002,Action,Takara,0.0,0.0,0.02,0.0,0.02
15325,Last Escort,PSTow,2006,Adventure,DThreePublisher,0.0,0.0,0.02,0.0,0.02
15326,Meikyuu Cross Blood Reloaded,XThreeSixZero,2011,Action,Unknown,0.0,0.0,0.02,0.0,0.02
15327,Livly Garden,DS,2010,Simulation,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15328,Nicktoons Collection Game Boy Advance Video Volume Three,GBA,2005,Misc,Unknown,0.01,0.01,0.0,0.0,0.02
15329,Elminage III Ankoku no Shito to Yaiyou no Kyuuden,PSP,2011,Role Playing,Starfish,0.0,0.0,0.02,0.0,0.02
15330,Commando Steel Disaster,DS,2008,Shooter,Lexicon Entertainment,0.02,0.0,0.0,0.0,0.02
15331,Aria The Natural Tooi Yume no Mirage,PSTow,2006,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
15332,Hellgate London,PC,2007,Role Playing,Electronic Arts,0.0,0.02,0.0,0.0,0.02
15333,Katekyoo Hitman Reborn Dream Hyper Battle Wii,Wii,2008,Fighting,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15334,The Awakened Fate Ultimatum,PSThree,2014,Role Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
15335,Gal Gun,PSThree,2012,Shooter,Alchemist,0.0,0.0,0.02,0.0,0.02
15336,Chuck E Cheeses Super Collection,Wii,2011,Action,UFO Interactive,0.02,0.0,0.0,0.0,0.02
15337,Hakuouki Yuugi Roku DS,DS,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15338,Mystery Tales Two The Spirit Mask,DS,2011,Puzzle,Unknown,0.0,0.02,0.0,0.0,0.02
15340,Shonen Jumps Shaman King Master of Spirits Two,GBA,2005,Role Playing,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
15343,Toki no Kizuna Hanayui Tsuzuri,PSP,2013,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15345,Rinne no Lagrange Kamogawa Days,PSThree,2012,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15347,Airport Simulator,PC,2011,Simulation,Unknown,0.0,0.02,0.0,0.0,0.02
15348,Caspers Scare School Spooky Sports Day,Wii,2009,Sports,Blast Entertainment Ltd,0.02,0.0,0.0,0.0,0.02
15349,Code R,SAT,1998,Adventure,Quintet,0.0,0.0,0.02,0.0,0.02
15350,The Idolmaster Gravure For You VolEight,PSThree,2012,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15351,Disney Sports Football,GBA,2002,Sports,Unknown,0.01,0.01,0.0,0.0,0.02
15352,Oil Rush,PC,2012,Strategy,Iceberg Interactive,0.0,0.02,0.0,0.0,0.02
15354,Chicken Hunter,DS,2007,Shooter,Phoenix Games,0.02,0.0,0.0,0.0,0.02
15355,Hakuoki Shinkai  Furi no Shou,PSV,2015,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
15356,Demolition Company Gold Edition,PC,2011,Simulation,Unknown,0.0,0.02,0.0,0.0,0.02
15358,Onechanbara Special,PSP,2011,Action,DThreePublisher,0.0,0.0,0.02,0.0,0.02
15359,Daikaijuu Battle Ultra Coliseum,Wii,2008,Fighting,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15360,Saki AchigaHen Portable,PSP,2013,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
15361,Bella Sara Two  The Magic of Drasilmare,ThreeDS,2013,Adventure,Big Ben Interactive,0.0,0.02,0.0,0.0,0.02
15362,Minna de Dokusho Keatai Shousetsu Desu,PSP,2008,Misc,Dorart,0.0,0.0,0.02,0.0,0.02
15363,Polar Bowler,DS,2008,Sports,Mumbo Jumbo,0.02,0.0,0.0,0.0,0.02
15364,Prehistorik Man,GBA,2001,Platform,THQ,0.01,0.01,0.0,0.0,0.02
15366,Chicago Enforcer,XB,2005,Shooter,Kemco,0.02,0.0,0.0,0.0,0.02
15367,Jinguuji Saburou DS Akai Chou,DS,2010,Adventure,Arc System Works,0.0,0.0,0.02,0.0,0.02
15368,Dance Dance Revolution Extra Mix,PS,2001,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
15371,Meitantei Conan Kieta Hakase to Machigai Sagashi no Tou,DS,2008,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15373,Pippa Funnell Ranch Rescue,Wii,2007,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02
15374,Jewel Link Galactic Quest,DS,2012,Action,Avanquest Software,0.0,0.02,0.0,0.0,0.02
15375,Super Bowling,NSixFour,1999,Sports,Athena,0.02,0.0,0.0,0.0,0.02
15377,Kawaii Koinu DS Three,DS,2010,Simulation,MTO,0.0,0.0,0.02,0.0,0.02
15378,Chuugen no Hasha Sangoku Shouseiden,PSP,2006,Strategy,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15380,The Sims Two Happy Holiday Stuff,PC,2006,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.02
15381,Largo Winch  Commando Sar,PS,2002,Adventure,Ubisoft,0.01,0.01,0.0,0.0,0.02
15382,Joker no Kuni no Alice Wonderful Wonder World,PSP,2011,Adventure,Quinrose,0.0,0.0,0.02,0.0,0.02
15383,Cross Treasures,DS,2009,Role Playing,Square Enix,0.0,0.0,0.02,0.0,0.02
15384,Ruff Trigger The Vanocore Conspiracy,PSTow,2006,Platform,Natsume,0.01,0.01,0.0,0.0,0.02
15385,Silent Bomber,PS,1999,Action,Virgin Interactive,0.01,0.01,0.0,0.0,0.02
15386,Samurai  Dragons,PSV,2012,Action,Sega,0.0,0.0,0.02,0.0,0.02
15387,TV Anime Idolmster Cinderella Girls GFourU Pack VolSeven,PSThree,2015,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15388,Elminage Original Majo to Megami to Kamigami no Yubiwa,PSP,2011,Role Playing,Starfish,0.0,0.0,0.02,0.0,0.02
15389,TalkMan,PSP,2006,Misc,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.02
15391,Uta no  PrinceSama,PSP,2010,Adventure,Broccoli,0.0,0.0,0.02,0.0,0.02
15393,Elminage Gothic Ulm Zakir to Yami no Gishiki,PSP,2012,Role Playing,Starfish,0.0,0.0,0.02,0.0,0.02
15394,Planetarium Creator Ohira Takayuki Kanshuu HomeStar Portable  TwoOnest Century Star Navigator,PSP,2006,Misc,Sega,0.0,0.0,0.02,0.0,0.02
15395,Crayon ShinChan Uchuu de Achoo Yuujou no ObaKarate,ThreeDS,2011,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15396,Invizimals The Resistance,PSV,2014,Role Playing,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02
15397,Anima  Gate of Memories,PSFour,2016,Action,Avanquest,0.0,0.02,0.0,0.0,0.02
15398,BOneSeven Fortress in the Sky,DS,2007,Simulation,DSI Games,0.02,0.0,0.0,0.0,0.02
15399,Mushishi Amefuru Sato,DS,2008,Simulation,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15400,Arcana Famiglia Vascello Phantasma no Majutsushi,PSP,2012,Action,Comfort,0.0,0.0,0.02,0.0,0.02
15404,ESPN MLS ExtraTime TwoZeroZeroTwo,GC,2002,Sports,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02
15405,Winning Post Seven Maximum TwoZeroZeroSeven,PSTow,2007,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15406,Resident Evil Umbrella Corps,PSFour,2016,Action,Capcom,0.0,0.0,0.02,0.0,0.02
15407,Strike Witches Anata to Dekiru Koto  A Little Peaceful Days,PSTow,2010,Action,Russel,0.0,0.0,0.02,0.0,0.02
15408,Vitamin R,PSP,2013,Adventure,DThreePublisher,0.0,0.0,0.02,0.0,0.02
15410,Maximum Racing Crash Car Racer,Wii,2010,Racing,Nordic Games,0.01,0.01,0.0,0.0,0.02
15411,Dragon Ball Z Buus Fury  Dragon Ball GT Transformation,GBA,2006,Action,Atari,0.01,0.01,0.0,0.0,0.02
15413,Guitar Freaks VTwo  DrumMania VTwo,PSTow,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
15415,Puzzle City,DS,2009,Puzzle,Destineer,0.02,0.0,0.0,0.0,0.02
15416,Gakuen K Wonderful School Days,PSP,2014,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15418,RollerCoaster Tycoon World,PC,2016,Simulation,Atari,0.0,0.02,0.0,0.0,0.02
15419,Pastel Chime Continue,PSP,2010,Adventure,Fivepb,0.0,0.0,0.02,0.0,0.02
15420,Trapped Dead,PC,2011,Strategy,Iceberg Interactive,0.0,0.02,0.0,0.0,0.02
15421,Super Fruit Fall,Wii,2006,Puzzle,System Three Arcade Software,0.01,0.0,0.0,0.0,0.02
15422,Zwei,PSP,2008,Role Playing,Falcom Corporation,0.0,0.0,0.02,0.0,0.02
15424,RoKyuBu Lost Secret,PSP,2013,Adventure,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
15425,CV Casting Voice,PSThree,2014,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15427,Net High,PSV,2015,Adventure,Marvelous Games,0.0,0.0,0.02,0.0,0.02
15428,Malice,PSTow,2004,Platform,Evolved Games,0.01,0.01,0.0,0.0,0.02
15430,The Sims Two Family Fun Stuff,PC,2006,Simulation,Electronic Arts,0.0,0.01,0.0,0.0,0.02
15431,Sega Ages TwoFiveZeroZero Series Vol ThreeTwo Phantasy Star Complete Collection,PSTow,2008,Role Playing,Sega,0.0,0.0,0.02,0.0,0.02
15432,Worldwide Soccer Manager TwoZeroZeroSeven,PC,2006,Sports,Sega,0.0,0.02,0.0,0.0,0.02
15434,Kokoro Connect Yochi Random,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15435,Tenkai Knights Brave Battle,ThreeDS,2014,Action,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02
15436,Mount  Blade Warband,PC,2010,Role Playing,Paradox Interactive,0.01,0.01,0.0,0.0,0.02
15438,Dark Tales Edgar Allan Poes The Premature Burial,PC,2012,Puzzle,Focus Multimedia,0.0,0.02,0.0,0.0,0.02
15441,Warship Gunner Two Portable,PSP,2009,Simulation,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15442,Nervous Brickdown,DS,2007,Puzzle,Eidos Interactive,0.0,0.01,0.0,0.0,0.02
15443,Downtown Nekketsu Jidaigek,ThreeDS,2015,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02
15445,Legend of Kay Anniversary,PSFour,2015,Action,Nordic Games,0.0,0.02,0.0,0.0,0.02
15447,Spanish for Everyone,DS,2007,Puzzle,Activision,0.02,0.0,0.0,0.0,0.02
15448,Battle Princess of Arcadias,PSThree,2013,Role Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
15449,Nobunagas Ambition Tenshouki with PowerUp Kit HD Version,PSV,2015,Strategy,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15450,Germanys Next Topmodel TwoZeroOneOne,Wii,2011,Simulation,SevenGAMES,0.0,0.02,0.0,0.0,0.02
15451,Uchuu Keiji Tamashii The Space Sheriff Spirits,PSTow,2006,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15452,Angelique Retour,PSV,2015,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15453,Winx Club Saving Alfea,DS,2014,Action,Namco Bandai Games,0.02,0.0,0.0,0.0,0.02
15454,UFO Trilogy,PC,2007,Strategy,Unknown,0.0,0.02,0.0,0.0,0.02
15455,Mount  Blade Collection,PC,2012,Role Playing,Paradox Interactive,0.0,0.02,0.0,0.0,0.02
15456,Car Battler Joe,GBA,2001,Role Playing,Victor Interactive,0.01,0.01,0.0,0.0,0.02
15457,Vietcong,PC,2003,Shooter,Gathering of Developers,0.0,0.02,0.0,0.0,0.02
15458,StormLover Karen,PSP,2011,Adventure,DThreePublisher,0.0,0.0,0.02,0.0,0.02
15461,Ten Pin Alley Two,Wii,2008,Sports,XS Games,0.02,0.0,0.0,0.0,0.02
15462,Coded Soul Uke Keigareshi Idea,PSP,2008,Role Playing,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.02
15463,Starship Troopers,PC,2005,Shooter,Empire Interactive,0.0,0.02,0.0,0.0,0.02
15464,AIR,PSP,2007,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
15465,Crysis Warhead,PC,2008,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02
15466,Hana to Otome ni Shukufuku o Harekaze no Okurimono,PSTow,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
15467,Dino Dinis Kick Off Revival,PSFour,2016,Sports,Avanquest,0.0,0.02,0.0,0.0,0.02
15468,Garfield Gets Real,DS,2009,Action,Zushi Games,0.0,0.02,0.0,0.0,0.02
15470,Atlantic Quest,PC,2011,Puzzle,Avanquest,0.0,0.02,0.0,0.0,0.02
15471,Tycoon City New York,PC,2006,Strategy,Atari,0.0,0.02,0.0,0.0,0.02
15472,TV Anime Idolmster Cinderella Girls GFourU Pack VolFive,PSThree,2015,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15474,Virtua Pro Football,PSTow,2006,Sports,Sega,0.0,0.0,0.02,0.0,0.02
15475,DateALive Twin Edition Rio Reincarnation,PSV,2015,Action,Compile Heart,0.0,0.0,0.02,0.0,0.02
15476,Adidas Power Soccer NineEight,PS,1998,Sports,Psygnosis,0.01,0.01,0.0,0.0,0.02
15477,Natsuiro High School Seishun Hakusho,PSFour,2015,Action,DThreePublisher,0.0,0.0,0.02,0.0,0.02
15478,Black Rose Valkyrie,PSFour,2016,Role Playing,Idea Factory,0.0,0.0,0.02,0.0,0.02
15479,YuGiOh FiveDs Wheelie Breakers JP sales,Wii,0,Racing,Unknown,0.0,0.0,0.02,0.0,0.02
15480,Heroes VS,PSP,2013,Fighting,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15481,Kazoku Keikaku,PSP,2010,Adventure,CyberFront,0.0,0.0,0.02,0.0,0.02
15482,Sotsugyou II Neo Generation Special,ThreeDO,1995,Simulation,Imageworks,0.0,0.0,0.02,0.0,0.02
15484,Agatha Christies The ABC Murders,PSFour,2016,Adventure,Microids,0.01,0.01,0.0,0.0,0.02
15485,Tom Clancys Splinter Cell Classic Trilogy HD,PSThree,2011,Action,Ubisoft,0.02,0.0,0.0,0.0,0.02
15486,Aoishiro,PSTow,2008,Adventure,Success,0.0,0.0,0.02,0.0,0.02
15487,Rainbow Islands Revolution,DS,2005,Platform,Rising Star Games,0.01,0.0,0.0,0.0,0.02
15488,Warhammer FourZeroZeroZeroZero Dawn of War Soulstorm,PC,2008,Strategy,THQ,0.0,0.02,0.0,0.0,0.02
15489,Virtual Kasparov,GBA,2002,Strategy,Titus,0.01,0.01,0.0,0.0,0.02
15492,Mary Kings Riding School,DS,2008,Simulation,Ghostlight,0.0,0.02,0.0,0.0,0.02
15493,Devil Survivor Over Clock,ThreeDS,2015,Strategy,Atlus,0.0,0.0,0.02,0.0,0.02
15494,PC Engine Best Collection Tengai Makyou Collection,PSP,2008,Role Playing,Hudson Soft,0.0,0.0,0.02,0.0,0.02
15495,Commandos Three Destination Berlin,PC,2003,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.02
15496,Otoko Yukaku,PSV,2015,Action,DThreePublisher,0.0,0.0,0.02,0.0,0.02
15498,Spirits and Demons Five Game Pack,PC,2015,Misc,Focus Multimedia,0.0,0.02,0.0,0.0,0.02
15499,Rose to Tasogare no Kojou,PSV,2016,Action,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
15500,Army Rescue,Wii,2009,Shooter,UFO Interactive,0.02,0.0,0.0,0.0,0.02
15501,Azada,ThreeDS,2012,Puzzle,Licensed FourU,0.0,0.02,0.0,0.0,0.02
15503,Zettai Meikyuu Grimm Nanatsu no Kagi to Rakuen no Otome,PSP,2010,Misc,Karin Entertainment,0.0,0.0,0.02,0.0,0.02
15504,Dreamer Series Horse Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.02,0.0,0.0,0.0,0.02
15505,Hogs of War,PS,2000,Strategy,Infogrames,0.01,0.01,0.0,0.0,0.02
15506,Katekyoo Hitman Reborn Dream Hyper Battle,PSTow,2007,Fighting,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15507,Muchi Muchi Pork  Pink Sweets,XThreeSixZero,2011,Shooter,Cave,0.0,0.0,0.02,0.0,0.02
15508,Point Blank Three,PS,2000,Shooter,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02
15509,Meiji Toukyou Renka,PSP,2013,Adventure,Broccoli,0.0,0.0,0.02,0.0,0.02
15511,Hakuoki Shinkai  Hana no Shou,PSV,2016,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15512,Mushihimesama,XThreeSixZero,2012,Action,Cave,0.0,0.0,0.02,0.0,0.02
15513,Uru Ages Beyond Myst,PC,2003,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02
15514,Higurashi no Naku Koro ni Jan,PSP,2009,Misc,AQ Interactive,0.0,0.0,0.02,0.0,0.02
15515,Soukoku no Kusabi Hiiro no Kakera Three  Ashita e no Tobira,PSP,2012,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
15516,Elvandia Story,PSTow,2007,Role Playing,Spike,0.0,0.0,0.02,0.0,0.02
15517,Triggerheart Excelica Enhanced,PSTow,2009,Shooter,Alchemist,0.0,0.0,0.02,0.0,0.02
15518,Puzzle Star Sweep,PS,1997,Puzzle,Midas Interactive Entertainment,0.01,0.01,0.0,0.0,0.02
15519,Battle Spirits Kiseki no Hasha,PSP,2009,Role Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15520,XPlane OneZero Global,PC,2013,Simulation,Aerosoft,0.0,0.02,0.0,0.0,0.02
15522,The Conveni Four,PSTow,2006,Simulation,Hamster Corporation,0.0,0.0,0.02,0.0,0.02
15523,The Cheetah Girls,GBA,2006,Misc,Disney Interactive Studios,0.01,0.0,0.0,0.0,0.02
15524,Charlies Angels,GC,2003,Action,Ubisoft,0.01,0.0,0.0,0.0,0.02
15527,Seitokai no Ichizon DSsuru Seitokai,DS,2010,Adventure,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
15528,Teenage Mutant Ninja Turtles Double Pack,GBA,2006,Action,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02
15529,Prism Ark Awake,PSTow,2008,Adventure,Fivepb,0.0,0.0,0.02,0.0,0.02
15530,Rozen Maiden Duellwalzer,PSTow,2006,Adventure,Taito,0.0,0.0,0.02,0.0,0.02
15533,Winter Blast Nine Snow  Ice Games,Wii,2010,Sports,Destineer,0.02,0.0,0.0,0.0,0.02
15536,Shrek  Shark Tale Game Boy Advance Video,GBA,2006,Misc,Hasbro Interactive,0.01,0.0,0.0,0.0,0.02
15538,Ginga Fukei Densetsu Sapphire,TGOneSix,1995,Shooter,Hudson Soft,0.0,0.0,0.02,0.0,0.02
15539,Katekyoo Hitman Reborn Lets Ansatsu Nerawareta OneZero Daime,PSTow,2007,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15540,The Mummy,GBA,2002,Action,Ubisoft,0.01,0.0,0.0,0.0,0.02
15541,Guitar Freaks VThree  DrumMania VThree,PSTow,2007,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
15542,The Talos Principle,PSFour,2015,Puzzle,Devolver Digital,0.0,0.02,0.0,0.0,0.02
15543,The Crow City of Angels,PS,1997,Action,Acclaim Entertainment,0.01,0.01,0.0,0.0,0.02
15545,Snow Portable,PSP,2007,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
15546,Poyo Poyo Kansatsu Nikki,ThreeDS,2012,Action,IE Institute,0.0,0.0,0.02,0.0,0.02
15547,Jinsei Game DS,DS,2006,Misc,Atlus,0.0,0.0,0.02,0.0,0.02
15548,Guitar Freaks  DrumMania Masterpiece Gold,PSTow,2007,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
15549,Broken Sword The Sleeping Dragon,XB,2003,Adventure,THQ,0.01,0.0,0.0,0.0,0.02
15550,Reversal Challenge,DS,2009,Misc,Tommo,0.02,0.0,0.0,0.0,0.02
15551,Wild West Shootout,Wii,2010,Shooter,Unknown,0.01,0.01,0.0,0.0,0.02
15552,Miyako,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15553,Motto NUGACEL,PSP,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
15554,YuGiOh GX The Beginning of Destiny JP sales,PSTow,2007,Strategy,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
15556,Super Dodge Ball,NG,1995,Sports,Technos Japan Corporation,0.0,0.0,0.02,0.0,0.02
15557,Tsuki ni Yori Sou Otome no Sahou Hidamari no Hibi,PSV,2015,Adventure,dramatic create,0.0,0.0,0.02,0.0,0.02
15558,Gon BakuBakuBakuBaku Adventure,ThreeDS,2012,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15559,Style Book Junior City,DS,2006,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15560,Amatsumi Sora ni Kumo no Hatate ni,PSV,2015,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
15561,Garfields Nightmare,DS,2007,Platform,Game Factory,0.01,0.0,0.0,0.0,0.02
15562,Earth Seeker,Wii,2011,Role Playing,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
15563,Downtown Nekketsu Koushinkyoku Soreyuke Daiundoukai AllStar Special,PSThree,2015,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02
15564,Lovely x Cation One  Two,PSV,2015,Action,Fivepb,0.0,0.0,0.02,0.0,0.02
15565,Barbie as the Princess and the Pauper,GBA,2004,Adventure,Vivendi Games,0.01,0.0,0.0,0.0,0.02
15566,Blood Bowl Legendary Edition,PC,2010,Sports,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02
15567,Tantei Opera Milky Holmes,PSP,2010,Adventure,Unknown,0.0,0.0,0.02,0.0,0.02
15568,Pirates of the Burning Sea,PC,2008,Role Playing,Koch Media,0.0,0.01,0.0,0.0,0.02
15569,TV Anime Idolmster Cinderella Girls GFourU Pack VolEight,PSThree,2016,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15570,Mary Kings Riding School Two,Wii,2009,Simulation,Midas Interactive Entertainment,0.0,0.02,0.0,0.0,0.02
15571,Micro Machines VFour,PSP,2006,Racing,Codemasters,0.01,0.0,0.0,0.0,0.02
15572,Entaku no Seito The Eternal Legend,PSP,2012,Role Playing,Kadokawa Games,0.0,0.0,0.02,0.0,0.02
15573,New Atelier Rorona Hajimari no Monogatari,ThreeDS,2015,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15574,WorldShift,PC,2009,Strategy,Playlogic Game Factory,0.02,0.0,0.0,0.0,0.02
15577,Seven Roses A Darkness Rises,PC,2015,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02
15578,My Hero Doctor,DS,2009,Action,Majesco Entertainment,0.02,0.0,0.0,0.0,0.02
15579,Sega Ages TwoFiveZeroZero Series Vol TwoNine Monster World Complete Collection,PSTow,2007,Role Playing,Sega,0.0,0.0,0.02,0.0,0.02
15580,Bakumatsu Rock Ultra Soul,PSV,2014,Misc,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
15581,Metal Fight Beyblade Portable Chouzetsu Tensei Vulcan Horses,PSP,2010,Action,Takara Tomy,0.0,0.0,0.02,0.0,0.02
15584,Niko Puchi Girls Runway,ThreeDS,2015,Misc,Happinet,0.0,0.0,0.02,0.0,0.02
15586,Bomberman Two,DS,2008,Puzzle,Hudson Soft,0.0,0.01,0.0,0.0,0.02
15587,Arabians Lost The Engagement on Desert,PSTow,2007,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
15588,Densha de Go Tokubetsuhen Fukkatsu Shouwa no Yamatesen,DS,2010,Simulation,Square Enix,0.0,0.0,0.02,0.0,0.02
15589,Summon Night Granthese Horobi no Ken to Yakusoku no Kishi,PSTow,2010,Role Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15590,Gakken DS Shin TOEIC Test Kanzen Kouryaku,DS,2007,Misc,Gakken,0.0,0.0,0.02,0.0,0.02
15591,SD Gundam Sangokuden Brave Battle Warriors Shin Mirisha Taisen,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
15592,Peggle Nights,PC,2008,Puzzle,PopCap Games,0.0,0.01,0.0,0.0,0.02
15593,Starry  Sky After Summer,PSP,2013,Misc,Asgard,0.0,0.0,0.02,0.0,0.02
15594,Puzzle Guzzle,PSP,2007,Puzzle,DHM Interactive,0.02,0.0,0.0,0.0,0.02
15596,Gallop Racer Inbreed,PSTow,2006,Sports,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15597,Myth Makers Super Kart GP,Wii,2007,Racing,Popcorn Arcade,0.01,0.0,0.0,0.0,0.02
15599,Ketsui Kizuna Jigoku Tachi Extra,XThreeSixZero,2010,Shooter,Fivepb,0.0,0.0,0.02,0.0,0.02
15600,Frisbee Disc Freestyle  Frisbee Disc Golf,DS,2007,Sports,DSI Games,0.02,0.0,0.0,0.0,0.02
15601,Call of Duty Modern Warfare Trilogy,PSThree,2016,Shooter,Activision,0.0,0.01,0.0,0.0,0.02
15602,The King of Fighters Collection The Orochi Saga JP sales,PSTow,2006,Fighting,Ignition Entertainment,0.0,0.0,0.02,0.0,0.02
15605,Suzumiya HaruhiChan no Mahjong,PSP,2011,Misc,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
15606,Tsuki no Hikari Shizumeru Kane no Satsujin,PSTow,2002,Adventure,Victor Interactive,0.0,0.0,0.02,0.0,0.02
15607,Aqua Panic,DS,2009,Puzzle,Neko Entertainment,0.01,0.01,0.0,0.0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,0,Misc,Unknown,0.0,0.0,0.02,0.0,0.02
15610,Sega Ages TwoFiveZeroZero Series Vol TwoSix Dynamite Deka,PSTow,2006,Action,Sega,0.0,0.0,0.02,0.0,0.02
15611,Kong The Animated Series,GBA,2002,Action,BAM Entertainment,0.01,0.0,0.0,0.0,0.02
15614,Agatha Christie Death on the Nile,PC,2008,Adventure,Big Fish Games,0.0,0.01,0.0,0.0,0.02
15617,Koisuru Otome to Shugo no Tate Portable,PSP,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
15618,PachiPara ThreeD Ooumi Monogatari Two  Pachi Pro Fuuunroku Hana,ThreeDS,2012,Action,Irem Software Engineering,0.0,0.0,0.02,0.0,0.02
15619,Nodame Cantabile Tanoshii Ongaku no Jikan Desu,DS,2010,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
